14.1	-0.452754
14.15	-0.455436
14.2	-0.457759
14.25	-0.459778
14.3	-0.461541
14.35	-0.463087
14.4	-0.464448
14.45	-0.465653
14.5	-0.466723
14.55	-0.467678
14.6	-0.468533
14.65	-0.469302
14.7	-0.469996
14.75	-0.470624
14.8	-0.471195
14.85	-0.471716
14.9	-0.472192
14.95	-0.472628
15	-0.47303
15.05	-0.473401
15.1	-0.473743
15.15	-0.474061
15.2	-0.474357
15.25	-0.474632
15.3	-0.47489
15.35	-0.475131
15.4	-0.475357
15.45	-0.47557
15.5	-0.475771
15.55	-0.475961
15.6	-0.47614
15.65	-0.476311
15.7	-0.476473
15.75	-0.476628
15.8	-0.476776
15.85	-0.476917
15.9	-0.477053
15.95	-0.477184
16	-0.477309
16.05	-0.477431
16.1	-0.477548
16.15	-0.477663
16.2	-0.477773
16.25	-0.477882
16.3	-0.477987
16.35	-0.47809
16.4	-0.478192
16.45	-0.478291
16.5	-0.47839
16.55	-0.478487
16.6	-0.478583
16.65	-0.478678
16.7	-0.478773
16.75	-0.478867
16.8	-0.478962
16.85	-0.479057
16.9	-0.479152
16.95	-0.479247
17	-0.479344
17.05	-0.479442
17.1	-0.479541
17.15	-0.479642
17.2	-0.479744
17.25	-0.479849
17.3	-0.479956
17.35	-0.480066
17.4	-0.480179
17.45	-0.480295
17.5	-0.480415
17.55	-0.480539
17.6	-0.480668
17.65	-0.480802
17.7	-0.480941
17.75	-0.481086
17.8	-0.481239
17.85	-0.481398
17.9	-0.481565
17.95	-0.481742
18	-0.481928
18.05	-0.482125
18.1	-0.482333
18.15	-0.482555
18.2	-0.48279
18.25	-0.483042
18.3	-0.483311
18.35	-0.483599
18.4	-0.483909
18.45	-0.484243
18.5	-0.484603
18.55	-0.484994
18.6	-0.485418
18.65	-0.48588
18.7	-0.486384
18.75	-0.486937
18.8	-0.487545
18.85	-0.488215
18.9	-0.488956
18.95	-0.48978
19	-0.490697
19.05	-0.491724
19.1	-0.492878
19.15	-0.494179
19.2	-0.495652
19.25	-0.497328
19.3	-0.49924
19.35	-0.501433
19.4	-0.503953
19.45	-0.506859
19.5	-0.51021
19.55	-0.51407
19.6	-0.518492
19.65	-0.523495
19.7	-0.529019
19.75	-0.534836
19.8	-0.540404
19.85	-0.544636
19.9	-0.545644
19.95	-0.540686
20	-0.526855
20.05	-0.503054
20.1	-0.472392
20.15	-0.442049
20.2	-0.419175
20.25	-0.406734
20.3	-0.403378
20.35	-0.405953
20.4	-0.411569
20.45	-0.418283
20.5	-0.425019
20.55	-0.431264
20.6	-0.436832
20.65	-0.441695
20.7	-0.445902
20.75	-0.449527
20.8	-0.452651
20.85	-0.455347
20.9	-0.457681
20.95	-0.45971
21	-0.461482
21.05	-0.463035
21.1	-0.464403
21.15	-0.465612
21.2	-0.466687
21.25	-0.467646
21.3	-0.468504
21.35	-0.469276
21.4	-0.469972
21.45	-0.470603
21.5	-0.471176
21.55	-0.471698
21.6	-0.472175
21.65	-0.472613
21.7	-0.473016
21.75	-0.473388
21.8	-0.473732
21.85	-0.47405
21.9	-0.474347
21.95	-0.474623
22	-0.474881
22.05	-0.475122
22.1	-0.475349
22.15	-0.475563
22.2	-0.475764
22.25	-0.475954
22.3	-0.476134
22.35	-0.476305
22.4	-0.476467
22.45	-0.476622
22.5	-0.47677
22.55	-0.476912
22.6	-0.477048
22.65	-0.477179
22.7	-0.477305
22.75	-0.477427
22.8	-0.477544
22.85	-0.477659
22.9	-0.47777
22.95	-0.477878
23	-0.477983
23.05	-0.478087
23.1	-0.478188
23.15	-0.478288
23.2	-0.478386
23.25	-0.478483
23.3	-0.478579
23.35	-0.478675
23.4	-0.478769
23.45	-0.478864
23.5	-0.478958
23.55	-0.479053
23.6	-0.479148
23.65	-0.479244
23.7	-0.479341
23.75	-0.479438
23.8	-0.479537
23.85	-0.479638
23.9	-0.47974
23.95	-0.479845
24	-0.479952
24.05	-0.480062
24.1	-0.480174
24.15	-0.480291
24.2	-0.48041
24.25	-0.480534
24.3	-0.480663
24.35	-0.480797
24.4	-0.480936
24.45	-0.481081
24.5	-0.481233
24.55	-0.481392
24.6	-0.481559
24.65	-0.481735
24.7	-0.481921
24.75	-0.482117
24.8	-0.482325
24.85	-0.482546
24.9	-0.482782
